City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Porto Nacional,BR,2020-11-09 02:22:57,-10.71,-48.42,80.6,69,20,4.7
1,Rikitea,PF,2020-11-09 02:22:57,-23.12,-134.97,72.99,78,100,15.23
2,Castro,BR,2020-11-09 02:22:43,-24.79,-50.01,64.58,68,43,6.44
3,Atuona,PF,2020-11-09 02:22:58,-9.8,-139.03,77.68,64,74,12.53
4,Tuktoyaktuk,CA,2020-11-09 02:22:58,69.45,-133.04,14.0,92,75,8.05
5,Carnarvon,AU,2020-11-09 02:22:58,-24.87,113.63,71.6,60,90,12.75
6,Ribeira Grande,PT,2020-11-09 02:22:58,38.52,-28.7,61.16,65,46,13.22
7,Manokwari,ID,2020-11-09 02:22:58,-0.87,134.08,85.06,67,100,9.82
8,Hammerfest,NO,2020-11-09 02:22:58,70.66,23.68,39.2,92,75,40.26
9,Lompoc,US,2020-11-09 02:22:42,34.64,-120.46,53.6,66,75,12.75
10,Torbay,CA,2020-11-09 02:22:59,47.67,-52.73,34.0,68,20,11.41
11,Ushuaia,AR,2020-11-09 02:18:57,-54.8,-68.3,42.8,56,75,27.51
12,Cape Town,ZA,2020-11-09 02:22:59,-33.93,18.42,53.01,62,20,4.7
13,Albany,US,2020-11-09 02:20:24,42.6,-73.97,53.01,93,1,2.17
14,San Vicente,AR,2020-11-09 02:23:01,-26.62,-54.13,72.75,47,91,2.71
15,Baijiantan,CN,2020-11-09 02:23:01,45.63,85.18,42.19,57,72,7.11
16,Los Palacios,CU,2020-11-09 02:23:01,22.59,-83.25,74.71,91,53,7.25
17,Pevek,RU,2020-11-09 02:23:01,69.7,170.31,16.86,94,100,3.36
18,Raahe,FI,2020-11-09 02:20:02,64.68,24.48,36.0,74,0,5.82
19,Mataura,NZ,2020-11-09 02:23:01,-46.19,168.86,57.0,68,96,5.01
20,Port Alfred,ZA,2020-11-09 02:23:02,-33.59,26.89,62.91,82,100,13.67
21,Alice Town,BS,2020-11-09 02:23:02,25.72,-79.3,79.2,85,100,40.6
22,Husavik,IS,2020-11-09 02:23:02,66.04,-17.34,28.4,79,0,2.24
23,Cabo San Lucas,MX,2020-11-09 02:23:02,22.89,-109.91,78.8,73,5,16.11
24,Blagoyevo,RU,2020-11-09 02:23:02,63.37,47.92,33.62,91,96,11.52
25,Karasjok,NO,2020-11-09 02:23:02,69.47,25.51,39.2,69,100,27.51
26,Arraial Do Cabo,BR,2020-11-09 02:23:04,-22.97,-42.03,74.14,92,97,12.37
27,Yellowknife,CA,2020-11-09 02:20:45,62.46,-114.35,28.4,79,75,14.99
28,Bambanglipuro,ID,2020-11-09 02:23:04,-7.95,110.28,84.61,69,81,9.37
29,Suhbaatar,MN,2020-11-09 02:23:04,50.23,106.21,29.89,90,0,2.89
30,Constitucion,CL,2020-11-09 02:23:04,-35.33,-72.42,56.17,71,95,10.04
31,Russell,US,2020-11-09 02:23:05,32.35,-85.2,71.6,83,40,6.93
32,Barrow,US,2020-11-09 02:21:04,71.29,-156.79,15.8,78,90,23.04
33,Coihaique,CL,2020-11-09 02:23:06,-45.58,-72.07,57.2,58,0,2.24
34,Bonavista,CA,2020-11-09 02:23:06,48.65,-53.11,35.01,79,100,5.82
35,Durango,MX,2020-11-09 02:22:04,24.83,-104.83,60.67,45,0,5.5
36,Leningradskiy,RU,2020-11-09 02:23:07,69.38,178.42,20.14,94,100,6.49
37,Poronaysk,RU,2020-11-09 02:23:07,49.22,143.12,28.85,82,48,10.2
38,Avarua,CK,2020-11-09 02:23:07,-21.21,-159.78,80.6,69,80,5.82
39,Paszto,HU,2020-11-09 02:23:07,47.92,19.7,32.0,81,8,2.35
40,Sur,OM,2020-11-09 02:23:07,22.57,59.53,74.44,65,0,1.43
41,Bluff,NZ,2020-11-09 02:23:07,-46.6,168.33,57.0,68,91,5.01
42,Talnakh,RU,2020-11-09 02:23:08,69.49,88.4,24.8,92,40,20.13
43,Aklavik,CA,2020-11-09 02:23:08,68.22,-135.01,21.2,79,100,6.93
44,Te Anau,NZ,2020-11-09 02:18:24,-45.42,167.72,60.64,50,54,4.9
45,Zdvinsk,RU,2020-11-09 02:23:08,54.7,78.66,36.14,84,35,17.22
46,Bredasdorp,ZA,2020-11-09 02:23:08,-34.53,20.04,50.0,76,67,6.93
47,Winsum,NL,2020-11-09 02:23:08,53.33,6.52,43.0,100,78,3.36
48,Ahipara,NZ,2020-11-09 02:23:08,-35.17,173.17,60.04,80,96,13.56
49,Punta Arenas,CL,2020-11-09 02:22:53,-53.15,-70.92,42.8,75,90,14.99
50,Ahuimanu,US,2020-11-09 02:23:09,21.44,-157.84,86.0,58,75,10.29
51,Cedar City,US,2020-11-09 02:23:09,37.68,-113.06,28.4,74,75,5.82
52,Vaini,TO,2020-11-09 02:23:09,-21.2,-175.2,82.4,69,20,8.05
53,Busselton,AU,2020-11-09 02:23:09,-33.65,115.33,64.0,77,100,20.69
54,Waipawa,NZ,2020-11-09 02:23:09,-41.41,175.52,55.4,62,99,26.4
55,Saskylakh,RU,2020-11-09 02:23:09,71.92,114.08,-5.51,86,92,15.61
56,Lerwick,GB,2020-11-09 02:23:10,60.15,-1.15,51.8,93,100,14.99
57,Severo-Kurilsk,RU,2020-11-09 02:23:10,50.68,156.12,36.82,80,100,17.85
58,Patan,NP,2020-11-09 02:23:10,27.67,85.33,51.8,93,20,2.24
59,Doume,CM,2020-11-09 02:23:10,4.23,13.45,65.77,83,69,1.34
60,Puerto Baquerizo Moreno,EC,2020-11-09 02:23:10,-0.9,-89.6,66.81,82,18,10.76
61,New Norfolk,AU,2020-11-09 02:20:08,-42.78,147.06,77.0,26,0,4.0
62,Thompson,CA,2020-11-09 02:18:53,55.74,-97.86,10.4,85,90,10.29
63,Dikson,RU,2020-11-09 02:23:11,73.51,80.55,0.72,92,96,13.22
64,Iqaluit,CA,2020-11-09 02:23:11,63.75,-68.51,17.6,72,90,9.17
65,Kapaa,US,2020-11-09 02:23:11,22.08,-159.32,82.4,69,40,13.87
66,Butaritari,KI,2020-11-09 02:23:11,3.07,172.79,81.9,65,2,8.3
67,Emba,KZ,2020-11-09 02:23:11,48.83,58.14,40.1,77,100,22.57
68,Hermanus,ZA,2020-11-09 02:23:11,-34.42,19.23,48.0,88,63,10.22
69,Kamaishi,JP,2020-11-09 02:23:12,39.27,141.88,42.8,75,75,5.82
70,Esperance,AU,2020-11-09 02:23:12,-33.87,121.9,84.2,42,40,19.46
71,Deputatskiy,RU,2020-11-09 02:23:12,69.3,139.9,-15.59,90,43,3.18
72,Lamu,KE,2020-11-09 02:23:12,-2.27,40.9,77.0,94,40,4.94
73,Vanimo,PG,2020-11-09 02:23:12,-2.67,141.3,87.21,62,55,4.61
74,Okhotsk,RU,2020-11-09 02:23:12,59.38,143.3,7.57,88,9,21.79
75,Alofi,NU,2020-11-09 02:23:13,-19.06,-169.92,80.6,69,75,11.41
76,Bethel,US,2020-11-09 02:23:13,41.37,-73.41,55.0,81,1,3.36
77,Ferrol,ES,2020-11-09 02:23:13,43.48,-8.24,57.2,93,0,4.7
78,Shieli,KZ,2020-11-09 02:23:13,44.17,66.75,35.96,92,0,9.35
79,Tiksi,RU,2020-11-09 02:23:13,71.69,128.87,-9.22,89,9,3.6
80,Kaitangata,NZ,2020-11-09 02:23:13,-46.28,169.85,55.0,68,99,11.01
81,Puerto Escondido,MX,2020-11-09 02:23:04,15.85,-97.07,80.6,78,75,3.36
82,Mestia,GE,2020-11-09 02:23:14,43.05,42.73,39.78,55,0,3.0
83,Mount Isa,AU,2020-11-09 02:23:14,-20.73,139.5,95.0,9,0,5.82
84,Norman Wells,CA,2020-11-09 02:23:14,65.28,-126.83,19.4,92,75,2.24
85,Gillette,US,2020-11-09 02:23:14,44.29,-105.5,25.0,79,90,11.41
86,Saint George,US,2020-11-09 02:20:46,37.1,-113.58,39.99,86,75,5.82
87,Comodoro Rivadavia,AR,2020-11-09 02:23:14,-45.87,-67.5,60.8,67,0,8.37
88,Bambous Virieux,MU,2020-11-09 02:23:15,-20.34,57.76,73.99,88,40,11.41
89,Hovd,MN,2020-11-09 02:23:15,48.01,91.64,29.7,82,32,1.3
90,Guangyuan,CN,2020-11-09 02:23:15,32.44,105.82,57.0,77,0,1.01
91,Puerto Ayora,EC,2020-11-09 02:23:15,-0.74,-90.35,68.0,87,9,7.0
92,Grand Gaube,MU,2020-11-09 02:23:15,-20.01,57.66,73.99,81,29,5.99
93,Kudahuvadhoo,MV,2020-11-09 02:23:15,2.67,72.89,83.68,72,31,5.37
94,Pijijiapan,MX,2020-11-09 02:23:16,15.7,-93.23,77.25,76,25,3.15
95,Spruce Grove,CA,2020-11-09 02:23:16,53.53,-113.92,19.0,85,90,2.24
96,Hualmay,PE,2020-11-09 02:23:16,-11.1,-77.61,61.07,87,32,8.75
97,Kahului,US,2020-11-09 02:19:48,20.89,-156.47,87.8,48,20,19.46
98,Rocha,UY,2020-11-09 02:23:17,-34.48,-54.33,54.19,94,65,3.83
99,Faanui,PF,2020-11-09 02:23:17,-16.48,-151.75,79.03,77,88,15.55
100,Hit,IQ,2020-11-09 02:23:17,33.64,42.83,66.47,48,50,7.49
101,Nikolskoye,RU,2020-11-09 02:23:18,59.7,30.79,30.99,86,20,4.47
102,Algiers,DZ,2020-11-09 02:23:18,36.75,3.04,59.0,93,75,8.77
103,Vostok,RU,2020-11-09 02:19:13,46.49,135.88,18.52,94,100,7.72
104,Burnie,AU,2020-11-09 02:23:18,-41.07,145.92,64.0,51,69,8.99
105,Bouca,CF,2020-11-09 02:23:18,6.51,18.27,71.44,78,25,1.66
106,Sobolevo,RU,2020-11-09 02:23:18,54.43,31.9,35.55,87,0,5.55
107,Megion,RU,2020-11-09 02:23:18,61.03,76.11,32.0,98,40,8.95
108,Innisfail,AU,2020-11-09 02:23:19,-17.53,146.03,81.32,61,94,11.27
109,Ulladulla,AU,2020-11-09 02:23:19,-35.35,150.47,66.99,52,75,4.7
110,Port Blair,IN,2020-11-09 02:23:19,11.67,92.75,83.16,77,49,11.59
111,Kaka,TM,2020-11-09 02:23:19,37.35,59.61,49.53,68,94,1.01
112,Kapit,MY,2020-11-09 02:23:19,2.02,112.93,83.23,72,100,2.75
113,Kokkola,FI,2020-11-09 02:23:20,63.84,23.13,41.0,100,0,5.82
114,Ponta Do Sol,PT,2020-11-09 02:23:20,32.67,-17.1,64.4,63,20,8.05
115,Fare,PF,2020-11-09 02:23:20,-16.7,-151.02,79.29,78,73,15.64
116,Thinadhoo,MV,2020-11-09 02:23:20,0.53,72.93,83.84,75,85,10.67
117,Padang,ID,2020-11-09 02:21:37,-0.95,100.35,83.21,65,76,0.31
118,Souillac,MU,2020-11-09 02:23:20,-20.52,57.52,73.4,88,40,11.41
119,Roebourne,AU,2020-11-09 02:23:21,-20.78,117.13,90.63,21,0,10.76
120,Codajas,BR,2020-11-09 02:23:21,-3.84,-62.06,73.47,97,79,3.15
121,Panaba,MX,2020-11-09 02:23:21,21.28,-88.27,74.55,89,2,7.67
122,Geraldton,AU,2020-11-09 02:23:21,-28.77,114.6,73.4,56,75,21.92
123,Gazimurskiy Zavod,RU,2020-11-09 02:23:22,51.55,118.33,15.94,87,0,1.48
124,Matay,EG,2020-11-09 02:23:22,28.42,30.78,62.58,76,17,6.04
125,Kokoda,PG,2020-11-09 02:23:23,-8.88,147.74,84.81,60,43,4.65
126,Jamestown,US,2020-11-09 02:23:23,42.1,-79.24,57.2,50,1,3.22
127,Hithadhoo,MV,2020-11-09 02:23:23,-0.6,73.08,83.98,71,37,7.72
128,Oktyabrskiy,RU,2020-11-09 02:23:23,54.48,53.47,31.89,92,66,11.27
129,Hohhot,CN,2020-11-09 02:23:23,40.81,111.65,32.0,54,0,4.47
130,Xining,CN,2020-11-09 02:23:23,36.62,101.77,38.57,55,0,1.5
131,Tuatapere,NZ,2020-11-09 02:23:24,-46.13,167.68,57.0,68,99,5.01
132,Viedma,AR,2020-11-09 02:23:24,-40.81,-63.0,61.0,88,4,11.9
133,Akdepe,TM,2020-11-09 02:23:24,42.06,59.38,32.0,81,0,2.24
134,Ierapetra,GR,2020-11-09 02:23:24,35.01,25.74,66.0,62,70,11.01
135,Chapais,CA,2020-11-09 02:23:24,49.78,-74.85,39.2,100,90,4.7
136,Carutapera,BR,2020-11-09 02:21:21,-1.2,-46.02,79.56,82,47,7.14
137,Upernavik,GL,2020-11-09 02:23:24,72.79,-56.15,-5.66,77,0,10.85
138,Teloloapan,MX,2020-11-09 02:23:25,18.35,-99.85,73.99,56,30,2.84
139,Margate,GB,2020-11-09 02:23:25,51.38,1.39,57.0,91,100,3.0
140,Kirakira,SB,2020-11-09 02:23:25,-10.45,161.92,84.29,75,89,2.93
141,Hasaki,JP,2020-11-09 02:23:25,35.73,140.83,63.0,41,75,5.82
142,Cidreira,BR,2020-11-09 02:23:25,-30.18,-50.21,68.25,82,98,14.54
143,Kilifi,KE,2020-11-09 02:23:26,-3.63,39.85,76.42,86,21,7.25
144,La Ronge,CA,2020-11-09 02:22:46,55.1,-105.28,14.0,78,100,12.75
145,Mangrol,IN,2020-11-09 02:23:26,21.12,70.12,75.92,47,0,8.03
146,Fukue,JP,2020-11-09 02:23:26,32.69,128.84,59.0,47,40,19.46
147,Atambua,ID,2020-11-09 02:23:26,-9.11,124.89,88.38,42,64,2.3
148,Kawhia,NZ,2020-11-09 02:23:26,-38.07,174.82,64.0,67,88,11.99
149,Fortuna,US,2020-11-09 02:23:26,40.6,-124.16,48.0,65,1,16.11
150,Quballat,TN,2020-11-09 02:23:27,36.54,9.66,55.4,100,20,1.41
151,Karratha,AU,2020-11-09 02:22:41,-20.74,116.85,88.39,23,0,13.0
152,Batemans Bay,AU,2020-11-09 02:23:27,-35.72,150.18,66.99,57,0,1.99
153,Khatanga,RU,2020-11-09 02:23:27,71.97,102.5,9.54,91,100,17.6
154,Hobart,AU,2020-11-09 02:22:34,-42.88,147.33,78.01,42,0,9.17
155,Rudnichnyy,RU,2020-11-09 02:23:27,59.62,52.47,31.32,97,95,10.67
156,Hilo,US,2020-11-09 02:21:04,19.73,-155.09,82.4,65,90,9.17
157,Bandundu,CD,2020-11-09 02:23:28,-3.32,17.37,71.53,95,100,3.44
158,Naze,JP,2020-11-09 02:23:28,28.37,129.48,71.6,56,20,16.11
159,Mankera,PK,2020-11-09 02:23:28,31.39,71.44,62.78,28,0,5.14
160,Flinders,AU,2020-11-09 02:23:28,-34.58,150.86,69.01,55,37,9.33
161,Yumen,CN,2020-11-09 02:23:28,40.28,97.2,42.75,41,0,5.55
162,Tasiilaq,GL,2020-11-09 02:23:29,65.61,-37.64,32.18,98,100,30.13
163,Candolim,IN,2020-11-09 02:23:29,15.52,73.76,78.8,78,20,3.36
164,Codrington,AU,2020-11-09 02:23:03,-38.27,141.97,75.88,60,31,8.55
165,Kruisfontein,ZA,2020-11-09 02:19:59,-34.0,24.73,55.99,95,100,1.01
166,Manzhouli,CN,2020-11-09 02:23:29,49.6,117.43,18.97,95,58,2.08
167,Safaga,EG,2020-11-09 02:23:29,26.73,33.94,72.95,40,0,5.08
168,Adrar,MR,2020-11-09 02:23:30,20.5,-10.07,79.23,17,4,6.89
169,Playas,EC,2020-11-09 02:23:30,-2.63,-80.38,70.12,87,10,13.06
170,Guanica,PR,2020-11-09 02:23:30,17.97,-66.91,78.01,93,100,8.63
171,Houma,US,2020-11-09 02:23:31,29.6,-90.72,73.4,88,90,9.17
172,Aloleng,PH,2020-11-09 02:23:31,16.13,119.78,84.6,73,86,8.37
173,Coquimbo,CL,2020-11-09 02:23:31,-29.95,-71.34,55.4,87,0,4.7
174,Port Moresby,PG,2020-11-09 02:23:32,-9.44,147.18,86.0,70,40,12.35
175,Tsiroanomandidy,MG,2020-11-09 02:23:32,-18.77,46.03,69.73,55,92,8.81
176,Timbiqui,CO,2020-11-09 02:23:34,2.77,-77.67,74.79,92,100,2.95
177,Meulaboh,ID,2020-11-09 02:23:34,4.14,96.13,80.94,77,85,2.59
178,Ambon,ID,2020-11-09 02:23:34,-3.7,128.18,86.0,70,40,4.7
179,Terrace,CA,2020-11-09 02:23:34,54.52,-128.6,32.0,77,90,3.36
180,Merauke,ID,2020-11-09 02:23:34,-8.47,140.33,85.86,69,29,9.57
181,Salisbury,GB,2020-11-09 02:19:40,51.07,-1.8,53.01,100,90,5.82
182,Pontes E Lacerda,BR,2020-11-09 02:22:52,-15.23,-59.34,77.72,68,37,3.78
183,Montepuez,MZ,2020-11-09 02:23:35,-13.13,39.0,70.2,91,42,6.15
184,Isangel,VU,2020-11-09 02:23:35,-19.55,169.27,80.6,78,90,9.17
185,Ancud,CL,2020-11-09 02:23:35,-41.87,-73.82,55.99,71,0,10.29
186,Qaanaaq,GL,2020-11-09 02:23:35,77.48,-69.36,-8.0,70,0,8.59
187,Nome,US,2020-11-09 02:23:36,64.5,-165.41,30.2,80,1,5.12
188,Kodiak,US,2020-11-09 02:23:36,57.79,-152.41,44.6,52,40,29.97
189,Moerai,PF,2020-11-09 02:23:36,-22.43,-151.33,75.6,83,100,19.26
190,Kargasok,RU,2020-11-09 02:23:36,59.06,80.86,33.71,90,98,18.34
191,Ostrovnoy,RU,2020-11-09 02:23:36,68.05,39.51,32.45,94,100,25.68
192,Imamoglu,TR,2020-11-09 02:23:37,37.27,35.66,63.0,54,0,4.7
193,Chokurdakh,RU,2020-11-09 02:23:37,70.63,147.92,-11.85,91,99,3.67
194,Huarmey,PE,2020-11-09 02:23:37,-10.07,-78.15,61.29,88,16,6.6
195,Adre,TD,2020-11-09 02:23:37,13.47,22.2,69.55,29,55,14.7
196,Portland,US,2020-11-09 02:20:16,45.52,-122.68,41.0,65,1,3.0
197,Baoqing,CN,2020-11-09 02:23:37,46.33,132.21,21.56,81,0,13.58
198,Gat,IL,2020-11-09 02:20:03,31.61,34.76,64.99,82,0,3.36
199,Chuy,UY,2020-11-09 02:23:38,-33.7,-53.46,58.5,90,41,5.99
200,Cap Malheureux,MU,2020-11-09 02:23:38,-19.98,57.61,73.99,81,22,5.99
201,Esterhazy,CA,2020-11-09 02:23:38,50.65,-102.08,23.0,92,100,3.36
202,Victoria,HK,2020-11-09 02:18:44,22.29,114.16,77.0,47,83,1.01
203,Broken Hill,AU,2020-11-09 02:23:38,-31.95,141.43,86.0,28,66,13.87
204,Cherskiy,RU,2020-11-09 02:23:38,68.75,161.3,2.32,94,96,2.51
205,Vardo,NO,2020-11-09 02:23:38,70.37,31.11,36.01,80,100,10.65
206,Beloha,MG,2020-11-09 02:23:39,-25.17,45.05,75.11,52,0,10.71
207,Puerto Colombia,CO,2020-11-09 02:23:39,10.99,-74.95,77.0,100,40,2.24
208,Melito Di Porto Salvo,IT,2020-11-09 02:23:39,37.92,15.77,63.0,70,0,9.84
209,Cherbourg,FR,2020-11-09 02:22:16,49.64,-1.61,57.0,100,0,6.93
210,Jumla,NP,2020-11-09 02:23:40,29.27,82.18,49.42,44,0,3.29
211,Dwarka,IN,2020-11-09 02:23:40,22.24,68.97,78.71,47,0,6.71
212,Aleksandrov Gay,RU,2020-11-09 02:23:41,50.15,48.57,48.51,78,99,16.82
213,Pisco,PE,2020-11-09 02:23:41,-13.7,-76.22,62.6,88,0,17.22
214,Dudinka,RU,2020-11-09 02:23:41,69.41,86.18,24.8,92,40,20.13
215,Roald,NO,2020-11-09 02:23:41,62.58,6.13,44.6,100,100,8.05
216,Igrim,RU,2020-11-09 02:23:41,63.19,64.42,27.05,97,100,5.01
217,Calvinia,ZA,2020-11-09 02:23:42,-31.47,19.78,43.63,91,17,3.38
218,Aksarka,RU,2020-11-09 02:23:42,66.56,67.8,20.59,98,100,7.9
219,Lianzhou,CN,2020-11-09 02:23:43,24.78,112.38,67.23,41,0,6.76
220,Bud,US,2020-11-09 02:23:43,39.45,-86.18,64.4,63,1,3.36
221,Kurilsk,RU,2020-11-09 02:23:43,45.23,147.88,38.79,74,100,21.41
222,Manama,BH,2020-11-09 02:23:43,26.22,50.58,78.8,83,5,3.36
223,Astoria,US,2020-11-09 02:20:54,46.19,-123.83,42.01,64,1,3.36
224,Tondano,ID,2020-11-09 02:23:44,1.3,124.91,87.8,48,20,2.24
225,Asau,RO,2020-11-09 02:23:44,46.43,26.4,41.0,100,40,4.7
226,Sahuaripa,MX,2020-11-09 02:23:44,29.05,-109.23,66.61,58,0,8.55
227,Sitka,US,2020-11-09 02:20:18,57.05,-135.33,42.8,75,90,25.28
228,Kampong Chhnang,KH,2020-11-09 02:23:44,12.17,104.55,77.97,80,96,9.06
229,Vila Velha,BR,2020-11-09 02:20:51,-20.33,-40.29,77.0,83,20,11.41
230,Clyde River,CA,2020-11-09 02:23:44,70.47,-68.59,-0.4,77,1,19.46
231,Khani,GE,2020-11-09 02:23:45,41.96,42.96,53.6,66,0,12.75
232,Dawson Creek,CA,2020-11-09 02:23:45,55.77,-120.24,24.8,68,1,9.17
233,Brazzaville,CG,2020-11-09 02:22:54,-4.27,15.28,78.8,83,75,8.05
234,Beringovskiy,RU,2020-11-09 02:23:45,63.05,179.32,19.99,91,17,8.52
235,Acapulco,MX,2020-11-09 02:23:45,16.86,-99.89,80.6,83,40,4.7
236,Port Elizabeth,ZA,2020-11-09 02:23:45,-33.92,25.57,57.2,93,0,14.99
237,Hofn,IS,2020-11-09 02:23:45,64.25,-15.21,40.91,77,100,9.75
238,Kushiro,JP,2020-11-09 02:23:46,42.98,144.37,41.0,67,75,11.41
239,Saint-Philippe,RE,2020-11-09 02:23:46,-21.36,55.77,73.4,73,0,4.7
240,Ugoofaaru,MV,2020-11-09 02:23:46,5.67,73.0,83.39,75,92,7.67
241,Puerto Ayacucho,VE,2020-11-09 02:23:47,5.66,-67.62,77.25,88,100,1.57
242,Aldan,RU,2020-11-09 02:23:47,58.6,125.39,-0.56,89,0,4.25
243,Vao,NC,2020-11-09 02:23:47,-22.67,167.48,70.83,78,6,19.51
244,Les Ponts-De-Ce,FR,2020-11-09 02:23:47,47.42,-0.52,55.4,87,94,9.17
245,Mookane,BW,2020-11-09 02:23:48,-23.69,26.66,76.62,54,98,5.19
246,Kedrovyy,RU,2020-11-09 02:23:48,56.17,91.82,46.4,49,0,11.18
247,Weligama,LK,2020-11-09 02:23:48,5.97,80.42,79.34,84,6,5.35
248,Abha,SA,2020-11-09 02:23:48,18.22,42.51,59.0,58,0,4.7
249,Mogadishu,SO,2020-11-09 02:23:49,2.04,45.34,78.44,82,100,8.57
250,Sao Felix Do Xingu,BR,2020-11-09 02:23:49,-6.64,-51.99,72.77,95,65,1.5
251,Maragogi,BR,2020-11-09 02:23:49,-9.01,-35.22,76.66,88,11,10.87
252,Ucluelet,CA,2020-11-09 02:21:34,48.93,-125.55,41.0,80,20,3.36
253,Campos Novos,BR,2020-11-09 02:20:49,-27.4,-51.23,63.27,84,100,7.31
254,Lanxi,CN,2020-11-09 02:23:50,29.22,119.48,62.06,50,0,5.53
255,Lagoa,PT,2020-11-09 02:23:50,39.05,-27.98,60.49,63,93,11.74
256,Mar Del Plata,AR,2020-11-09 02:19:36,-38.0,-57.56,62.01,73,33,8.99
257,Port Hedland,AU,2020-11-09 02:23:50,-20.32,118.57,91.4,29,0,11.41
258,Gerga,RU,2020-11-09 02:23:51,42.35,47.96,44.6,70,0,4.47
259,Samarai,PG,2020-11-09 02:23:51,-10.62,150.67,79.41,86,100,16.11
260,Port Said,EG,2020-11-09 02:23:51,31.26,32.28,68.0,82,0,5.82
261,Erenhot,CN,2020-11-09 02:23:51,43.65,111.98,35.92,64,0,6.42
262,Rawson,AR,2020-11-09 02:19:27,-43.3,-65.1,65.39,66,77,11.01
263,Staraya Kulatka,RU,2020-11-09 02:23:51,52.72,47.62,35.83,84,1,9.08
264,Praia,CV,2020-11-09 02:20:45,14.92,-23.51,78.8,74,0,13.87
265,Maputo,MZ,2020-11-09 02:23:52,-25.97,32.59,79.02,59,0,0.69
266,Marsaxlokk,MT,2020-11-09 02:23:52,35.84,14.54,63.0,87,0,6.93
267,Kloulklubed,PW,2020-11-09 02:23:52,7.04,134.26,86.0,74,90,8.05
268,Kavieng,PG,2020-11-09 02:23:52,-2.57,150.8,83.86,68,75,2.64
269,Pangai,TO,2020-11-09 02:23:52,-19.8,-174.35,80.6,78,20,6.93
270,Narasannapeta,IN,2020-11-09 02:23:52,18.42,84.05,68.59,65,0,5.95
271,Turukhansk,RU,2020-11-09 02:23:52,65.82,87.98,33.12,98,100,15.75
272,Guerrero Negro,MX,2020-11-09 02:23:53,27.98,-114.06,64.15,59,71,11.5
273,Aiquile,BO,2020-11-09 02:23:53,-18.2,-65.18,62.89,55,0,2.75
274,Mozarlandia,BR,2020-11-09 02:23:53,-14.74,-50.57,74.57,78,97,7.4
275,Sioux Lookout,CA,2020-11-09 02:23:53,50.1,-91.92,55.4,71,5,8.05
276,Yaan,NG,2020-11-09 02:23:53,7.38,8.57,74.03,73,53,4.41
277,Salalah,OM,2020-11-09 02:23:53,17.02,54.09,73.4,56,0,3.36
278,Lavrentiya,RU,2020-11-09 02:23:54,65.58,-171.0,27.12,94,67,6.55
279,Jaguaruna,BR,2020-11-09 02:23:54,-28.61,-49.03,68.63,81,100,6.42
280,Kabwe,ZM,2020-11-09 02:23:54,-14.45,28.45,70.83,29,93,6.31
281,Buenaventura,CO,2020-11-09 02:23:54,3.88,-77.03,66.0,79,100,0.54
282,Kaura Namoda,NG,2020-11-09 02:23:54,12.59,6.58,70.16,26,45,8.75
283,Eugene,US,2020-11-09 02:19:50,44.05,-123.09,39.99,80,0,2.55
284,Mahebourg,MU,2020-11-09 02:23:54,-20.41,57.7,73.4,88,40,11.41
